"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","scale","land_het","hp"
"mean","2.5%",0.1,1.2201904296875,1.328564453125,5.321533203125,6.7862060546875,NA,0.000977517106549364,0.5
"mean","2.5%",0.2,2.217431640625,2.6459716796875,8.6253173828125,13.453271484375,NA,0.000977517106549364,0.5
"mean","2.5%",0.3,3.1321044921875,3.96552734375,10.8745849609375,20.2281982421875,NA,0.000977517106549364,0.5
"mean","2.5%",0.4,3.87236328125,5.2986328125,12.4923828125,27.1783447265625,NA,0.000977517106549364,0.5
"mean","2.5%",0.5,4.50673828125,6.5642333984375,13.587109375,33.8347900390625,NA,0.000977517106549364,0.5
"mean","2.5%",0.6,5.172412109375,7.9477783203125,14.55595703125,40.9037841796875,NA,0.000977517106549364,0.5
"mean","2.5%",0.7,5.6758056640625,9.2016845703125,15.2779541015625,47.5223388671875,NA,0.000977517106549364,0.5
"mean","2.5%",0.8,6.1895263671875,10.4884521484375,15.848486328125,54.521533203125,NA,0.000977517106549364,0.5
"mean","2.5%",0.9,6.6341796875,11.8743408203125,16.331201171875,61.1245849609375,NA,0.000977517106549364,0.5
"mean","2.5%",1,7.0645263671875,13.1735595703125,16.73388671875,67.9747802734375,NA,0.000977517106549364,0.5
"mean","50%",0.1,1.7626953125,1.935546875,5.84521484375,7.5009765625,NA,0.000977517106549364,0.5
"mean","50%",0.2,3.2197265625,3.89697265625,9.4619140625,14.94873046875,NA,0.000977517106549364,0.5
"mean","50%",0.3,4.4638671875,5.8291015625,11.9169921875,22.42333984375,NA,0.000977517106549364,0.5
"mean","50%",0.4,5.5576171875,7.73828125,13.57568359375,29.9228515625,NA,0.000977517106549364,0.5
"mean","50%",0.5,6.47900390625,9.67236328125,14.83251953125,37.35791015625,NA,0.000977517106549364,0.5
"mean","50%",0.6,7.34033203125,11.6025390625,15.7197265625,44.90576171875,NA,0.000977517106549364,0.5
"mean","50%",0.7,8.0693359375,13.55810546875,16.44482421875,52.296875,NA,0.000977517106549364,0.5
"mean","50%",0.8,8.7705078125,15.47314453125,16.9482421875,59.84326171875,NA,0.000977517106549364,0.5
"mean","50%",0.9,9.3427734375,17.43115234375,17.3994140625,67.322265625,NA,0.000977517106549364,0.5
"mean","50%",1,9.89306640625,19.32958984375,17.7197265625,74.80859375,NA,0.000977517106549364,0.5
"mean","97.5%",0.1,2.2037841796875,2.4010009765625,6.388037109375,8.3658203125,NA,0.000977517106549364,0.5
"mean","97.5%",0.2,4.1051513671875,4.856005859375,10.213232421875,16.7141845703125,NA,0.000977517106549364,0.5
"mean","97.5%",0.3,5.742724609375,7.2870361328125,12.69638671875,25.1399169921875,NA,0.000977517106549364,0.5
"mean","97.5%",0.4,7.1417724609375,9.7693115234375,14.3647216796875,33.3692626953125,NA,0.000977517106549364,0.5
"mean","97.5%",0.5,8.33828125,12.1500732421875,15.4713134765625,41.887939453125,NA,0.000977517106549364,0.5
"mean","97.5%",0.6,9.3330322265625,14.5837158203125,16.364306640625,50.1180419921875,NA,0.000977517106549364,0.5
"mean","97.5%",0.7,10.2546142578125,17.052099609375,17.0226318359375,58.621484375,NA,0.000977517106549364,0.5
"mean","97.5%",0.8,11.048828125,19.424658203125,17.501904296875,66.891455078125,NA,0.000977517106549364,0.5
"mean","97.5%",0.9,11.73203125,21.86416015625,17.90888671875,75.2685302734375,NA,0.000977517106549364,0.5
"mean","97.5%",1,12.3843017578125,24.3097412109375,18.2018310546875,83.691015625,NA,0.000977517106549364,0.5
"var","2.5%",0.1,2.3039119776393,3.01681274533388,4.39823006399682,8.8868926077178,NA,0.000977517106549364,0.5
"var","2.5%",0.2,4.80672205293866,8.277415608008,5.89404165616599,21.520349514869,NA,0.000977517106549364,0.5
"var","2.5%",0.3,6.84512604147575,15.6677423173265,6.37446570671432,37.6444900109971,NA,0.000977517106549364,0.5
"var","2.5%",0.4,8.58033570171218,24.8496992750718,6.26059078690127,59.1254354676427,NA,0.000977517106549364,0.5
"var","2.5%",0.5,9.55841361574413,36.7200708890824,5.46125216218383,81.0437629826491,NA,0.000977517106549364,0.5
"var","2.5%",0.6,10.2343501802297,51.0056753268573,4.93030639529112,111.77399654146,NA,0.000977517106549364,0.5
"var","2.5%",0.7,10.8019631722339,64.0705303412146,4.34764183544111,140.605418657021,NA,0.000977517106549364,0.5
"var","2.5%",0.8,10.8428583974829,83.4320480510753,4.02023281421829,180.183764051808,NA,0.000977517106549364,0.5
"var","2.5%",0.9,11.0431600531525,102.176973959288,3.48857374144673,215.907671600073,NA,0.000977517106549364,0.5
"var","2.5%",1,10.9479416534931,123.471706249427,3.08332801140182,258.748668872762,NA,0.000977517106549364,0.5
"var","50%",0.1,2.89945081485215,3.94197805932307,5.54716138196481,11.3090285732832,NA,0.000977517106549364,0.5
"var","50%",0.2,6.54138314852151,11.8060468597263,8.36223261470552,30.0949676006537,NA,0.000977517106549364,0.5
"var","50%",0.3,10.0665718742363,23.7279018129888,9.30831786870723,56.0837643381904,NA,0.000977517106549364,0.5
"var","50%",0.4,13.4120826460166,40.1022817960349,9.54006626878666,89.4212545057429,NA,0.000977517106549364,0.5
"var","50%",0.5,15.931157594086,59.4084914161779,9.40582567738881,130.786454037604,NA,0.000977517106549364,0.5
"var","50%",0.6,17.9812415040017,84.4372207775843,8.77210105083089,180.02503932979,NA,0.000977517106549364,0.5
"var","50%",0.7,19.3900784877505,112.128489564241,8.24320845170455,232.181126569373,NA,0.000977517106549364,0.5
"var","50%",0.8,20.6167512448069,145.106637188416,7.72124534152004,296.97533964901,NA,0.000977517106549364,0.5
"var","50%",0.9,21.4299390388258,181.981136497281,7.02849882392473,366.336026755712,NA,0.000977517106549364,0.5
"var","50%",1,22.1163966084739,222.846718826369,6.52221464901026,443.756886054344,NA,0.000977517106549364,0.5
"var","97.5%",0.1,3.55505156307276,4.86129184995112,6.9876762919645,14.4333498480266,NA,0.000977517106549364,0.5
"var","97.5%",0.2,8.25786216340573,15.9230061133003,11.520238160015,40.3589981213343,NA,0.000977517106549364,0.5
"var","97.5%",0.3,12.5016945220858,33.2762255477532,14.1181539436706,80.3806360686629,NA,0.000977517106549364,0.5
"var","97.5%",0.4,16.6261516373412,53.5249511002795,15.4907182650599,135.781687806429,NA,0.000977517106549364,0.5
"var","97.5%",0.5,19.781297658732,82.7380114781891,15.850402724638,200.712408286176,NA,0.000977517106549364,0.5
"var","97.5%",0.6,22.9762173858672,118.091840786901,15.9558288037252,279.540452025293,NA,0.000977517106549364,0.5
"var","97.5%",0.7,25.1655633324169,157.659781065761,15.3959898649422,368.778988179107,NA,0.000977517106549364,0.5
"var","97.5%",0.8,26.89642461663,204.89722269157,14.8974002961189,473.974884110765,NA,0.000977517106549364,0.5
"var","97.5%",0.9,28.6540895105923,254.804529417155,14.6926916038535,597.895572725745,NA,0.000977517106549364,0.5
"var","97.5%",1,29.7898056611987,315.959842065119,13.9100248961388,728.160288176625,NA,0.000977517106549364,0.5
"mean","2.5%",0.1,1.0714599609375,1.1670166015625,5.372705078125,6.85791015625,NA,0.000977517106549364,0.6
"mean","2.5%",0.2,2.001611328125,2.34267578125,8.7961669921875,13.7802734375,NA,0.000977517106549364,0.6
"mean","2.5%",0.3,2.7847412109375,3.587109375,10.9657470703125,20.6863525390625,NA,0.000977517106549364,0.6
"mean","2.5%",0.4,3.5107421875,4.747705078125,12.696923828125,27.667724609375,NA,0.000977517106549364,0.6
"mean","2.5%",0.5,4.1841796875,5.8884033203125,13.860791015625,34.4363525390625,NA,0.000977517106549364,0.6
"mean","2.5%",0.6,4.7200927734375,7.090380859375,14.7481201171875,41.4611572265625,NA,0.000977517106549364,0.6
"mean","2.5%",0.7,5.289697265625,8.2660400390625,15.450537109375,48.4117919921875,NA,0.000977517106549364,0.6
"mean","2.5%",0.8,5.7667236328125,9.5002685546875,15.954833984375,55.31982421875,NA,0.000977517106549364,0.6
"mean","2.5%",0.9,6.2041748046875,10.6483642578125,16.3946533203125,62.2077880859375,NA,0.000977517106549364,0.6
"mean","2.5%",1,6.6146728515625,11.8328369140625,16.7691650390625,69.106982421875,NA,0.000977517106549364,0.6
"mean","50%",0.1,1.626953125,1.82177734375,5.88623046875,7.62841796875,NA,0.000977517106549364,0.6
"mean","50%",0.2,3.00927734375,3.6484375,9.57861328125,15.23681640625,NA,0.000977517106549364,0.6
"mean","50%",0.3,4.1318359375,5.48779296875,11.9560546875,22.85107421875,NA,0.000977517106549364,0.6
"mean","50%",0.4,5.1533203125,7.3466796875,13.59912109375,30.51806640625,NA,0.000977517106549364,0.6
"mean","50%",0.5,6.01708984375,9.1806640625,14.77197265625,38.0537109375,NA,0.000977517106549364,0.6
"mean","50%",0.6,6.7783203125,11.05078125,15.6796875,45.64208984375,NA,0.000977517106549364,0.6
"mean","50%",0.7,7.4541015625,12.84130859375,16.330078125,53.32275390625,NA,0.000977517106549364,0.6
"mean","50%",0.8,8.05224609375,14.74072265625,16.8544921875,60.92919921875,NA,0.000977517106549364,0.6
"mean","50%",0.9,8.59765625,16.5224609375,17.24609375,68.53564453125,NA,0.000977517106549364,0.6
"mean","50%",1,9.09228515625,18.42626953125,17.5771484375,76.25732421875,NA,0.000977517106549364,0.6
"mean","97.5%",0.1,2.031396484375,2.2443603515625,6.505859375,8.4318603515625,NA,0.000977517106549364,0.6
"mean","97.5%",0.2,3.774072265625,4.5588623046875,10.486865234375,17.0793701171875,NA,0.000977517106549364,0.6
"mean","97.5%",0.3,5.1492431640625,6.661669921875,13.0428955078125,25.560205078125,NA,0.000977517106549364,0.6
"mean","97.5%",0.4,6.3865234375,9.002392578125,14.74638671875,34.120068359375,NA,0.000977517106549364,0.6
"mean","97.5%",0.5,7.478955078125,11.2947509765625,15.92353515625,42.658203125,NA,0.000977517106549364,0.6
"mean","97.5%",0.6,8.418701171875,13.5638427734375,16.7622314453125,51.201318359375,NA,0.000977517106549364,0.6
"mean","97.5%",0.7,9.239599609375,15.735791015625,17.3992431640625,59.49951171875,NA,0.000977517106549364,0.6
"mean","97.5%",0.8,9.9468017578125,18.0442138671875,17.903369140625,68.1855712890625,NA,0.000977517106549364,0.6
"mean","97.5%",0.9,10.5921142578125,20.2981201171875,18.2499267578125,76.6455078125,NA,0.000977517106549364,0.6
"mean","97.5%",1,11.1871826171875,22.547705078125,18.508935546875,85.1714599609375,NA,0.000977517106549364,0.6
"var","2.5%",0.1,2.31837304973882,3.01810840893817,4.6017491255804,9.76965709100837,NA,0.000977517106549364,0.6
"var","2.5%",0.2,5.53368937771108,9.47540838068182,6.3011911580523,23.1393811715313,NA,0.000977517106549364,0.6
"var","2.5%",0.3,8.14834576231061,17.7345469485047,6.32933465355419,40.889833989148,NA,0.000977517106549364,0.6
"var","2.5%",0.4,11.0367714442815,29.9124638442769,6.02567777065005,62.4843965502428,NA,0.000977517106549364,0.6
"var","2.5%",0.5,13.3831291668576,44.4248266673158,5.30661286981458,88.806789734543,NA,0.000977517106549364,0.6
"var","2.5%",0.6,15.2763376662925,62.7573115224829,4.86285045992943,118.754570274316,NA,0.000977517106549364,0.6
"var","2.5%",0.7,16.9556009868722,82.7651324230205,4.48084381491324,149.715373675961,NA,0.000977517106549364,0.6
"var","2.5%",0.8,17.687503054741,104.907852903722,3.95068022876191,189.123723142145,NA,0.000977517106549364,0.6
"var","2.5%",0.9,18.1290559561721,130.748447809751,3.35465353987201,230.434325742302,NA,0.000977517106549364,0.6
"var","2.5%",1,18.6255588982695,160.075689607771,2.88576240129368,275.053843818732,NA,0.000977517106549364,0.6
"var","50%",0.1,3.02215403149438,4.15768525094697,5.86677415536412,12.1226812606916,NA,0.000977517106549364,0.6
"var","50%",0.2,7.02038084982893,13.0511874350868,8.80673178992546,32.3178930497006,NA,0.000977517106549364,0.6
"var","50%",0.3,10.9052906204179,26.4938957684201,10.0687865614308,61.5371408770161,NA,0.000977517106549364,0.6
"var","50%",0.4,14.7806767587671,45.141186308651,10.4579414673448,100.325548994227,NA,0.000977517106549364,0.6
"var","50%",0.5,17.7973900102334,68.2843997243096,10.106900659824,145.720349443273,NA,0.000977517106549364,0.6
"var","50%",0.6,20.3060883851112,96.4180222079668,9.83855264464198,198.527828690127,NA,0.000977517106549364,0.6
"var","50%",0.7,22.5683111673693,129.381035977212,9.42996576780914,266.914936442296,NA,0.000977517106549364,0.6
"var","50%",0.8,24.2579022330156,167.363710345644,8.78035982939272,336.900162474035,NA,0.000977517106549364,0.6
"var","50%",0.9,25.798789940738,208.899397356885,8.2743367393695,418.474356881568,NA,0.000977517106549364,0.6
"var","50%",1,26.8892785274621,255.162091714779,7.78454530180841,506.833348129735,NA,0.000977517106549364,0.6
"var","97.5%",0.1,3.84257344742791,5.70704117790811,7.26511705385508,14.6221527905059,NA,0.000977517106549364,0.6
"var","97.5%",0.2,9.22913795687469,18.3590141825895,12.601712778936,43.4507485308605,NA,0.000977517106549364,0.6
"var","97.5%",0.3,13.9298025539544,37.4609749444419,14.9447693050082,85.6855155877703,NA,0.000977517106549364,0.6
"var","97.5%",0.4,18.550561308651,64.6461509070671,16.269178236498,141.964274876092,NA,0.000977517106549364,0.6
"var","97.5%",0.5,22.8042595498839,98.4626706120554,16.7595704079607,211.970627209914,NA,0.000977517106549364,0.6
"var","97.5%",0.6,25.9774575391007,139.298589974531,16.5162060690066,297.381835173815,NA,0.000977517106549364,0.6
"var","97.5%",0.7,28.6206240597125,188.560385713549,16.4436461388074,397.812459405356,NA,0.000977517106549364,0.6
"var","97.5%",0.8,30.7747561934873,240.749372656441,16.0027439210655,507.461219657831,NA,0.000977517106549364,0.6
"var","97.5%",0.9,32.3457753887158,304.273188562477,15.6541689577224,636.188083288467,NA,0.000977517106549364,0.6
"var","97.5%",1,33.8229927249435,372.169184513036,15.0177627459066,774.870439677457,NA,0.000977517106549364,0.6
"mean","2.5%",0.1,1.02470703125,1.1327880859375,5.374267578125,7.0157958984375,NA,0.000977517106549364,0.7
"mean","2.5%",0.2,1.9895751953125,2.385302734375,8.45751953125,13.9016845703125,NA,0.000977517106549364,0.7
"mean","2.5%",0.3,2.688916015625,3.40859375,10.4200927734375,20.8932373046875,NA,0.000977517106549364,0.7
"mean","2.5%",0.4,3.3871337890625,4.6496826171875,11.83369140625,28.032763671875,NA,0.000977517106549364,0.7
"mean","2.5%",0.5,3.94951171875,5.7556884765625,12.761376953125,34.858984375,NA,0.000977517106549364,0.7
"mean","2.5%",0.6,4.4894775390625,6.9751953125,13.5904541015625,41.8868896484375,NA,0.000977517106549364,0.7
"mean","2.5%",0.7,4.9635009765625,8.1183349609375,14.1105712890625,48.848974609375,NA,0.000977517106549364,0.7
"mean","2.5%",0.8,5.3757568359375,9.2325927734375,14.606396484375,55.772900390625,NA,0.000977517106549364,0.7
"mean","2.5%",0.9,5.7891357421875,10.398388671875,14.951416015625,62.76953125,NA,0.000977517106549364,0.7
"mean","2.5%",1,6.119140625,11.5806640625,15.2511962890625,69.8019775390625,NA,0.000977517106549364,0.7
"mean","50%",0.1,1.45166015625,1.64013671875,5.97021484375,7.75927734375,NA,0.000977517106549364,0.7
"mean","50%",0.2,2.62890625,3.3154296875,9.6220703125,15.5244140625,NA,0.000977517106549364,0.7
"mean","50%",0.3,3.58447265625,4.939453125,11.99169921875,23.36474609375,NA,0.000977517106549364,0.7
"mean","50%",0.4,4.37548828125,6.56494140625,13.6435546875,31.171875,NA,0.000977517106549364,0.7
"mean","50%",0.5,5.06982421875,8.240234375,14.77880859375,39.1103515625,NA,0.000977517106549364,0.7
"mean","50%",0.6,5.7021484375,9.8623046875,15.6318359375,46.79833984375,NA,0.000977517106549364,0.7
"mean","50%",0.7,6.24755859375,11.5146484375,16.3076171875,54.7158203125,NA,0.000977517106549364,0.7
"mean","50%",0.8,6.7353515625,13.1826171875,16.826171875,62.48681640625,NA,0.000977517106549364,0.7
"mean","50%",0.9,7.16650390625,14.8056640625,17.21630859375,70.3818359375,NA,0.000977517106549364,0.7
"mean","50%",1,7.58251953125,16.470703125,17.541015625,78.1572265625,NA,0.000977517106549364,0.7
"mean","97.5%",0.1,1.6921630859375,1.926171875,6.4902587890625,8.5441650390625,NA,0.000977517106549364,0.7
"mean","97.5%",0.2,3.0994140625,3.927587890625,10.3777099609375,17.0322265625,NA,0.000977517106549364,0.7
"mean","97.5%",0.3,4.16650390625,5.7966064453125,12.8538330078125,25.480078125,NA,0.000977517106549364,0.7
"mean","97.5%",0.4,5.206982421875,7.802734375,14.63037109375,34.2221923828125,NA,0.000977517106549364,0.7
"mean","97.5%",0.5,6.04638671875,9.68330078125,15.802197265625,42.4617919921875,NA,0.000977517106549364,0.7
"mean","97.5%",0.6,6.7577392578125,11.573291015625,16.7101806640625,51.1097900390625,NA,0.000977517106549364,0.7
"mean","97.5%",0.7,7.403515625,13.621875,17.3483642578125,59.4464599609375,NA,0.000977517106549364,0.7
"mean","97.5%",0.8,8.0051025390625,15.549267578125,17.7984375,68.0950927734375,NA,0.000977517106549364,0.7
"mean","97.5%",0.9,8.50029296875,17.3746826171875,18.1936279296875,76.5304443359375,NA,0.000977517106549364,0.7
"mean","97.5%",1,8.988916015625,19.3171630859375,18.484619140625,84.997998046875,NA,0.000977517106549364,0.7
"var","2.5%",0.1,2.29322460842039,3.03720528909305,4.91387921554252,10.8120769899728,NA,0.000977517106549364,0.7
"var","2.5%",0.2,5.57765726665597,9.89581958699902,6.54096056806727,26.3674903011975,NA,0.000977517106549364,0.7
"var","2.5%",0.3,9.84963343108504,21.053996173937,7.11845280711602,47.3165516127123,NA,0.000977517106549364,0.7
"var","2.5%",0.4,13.1975046346148,35.5029755324795,6.74136615652493,76.445333787726,NA,0.000977517106549364,0.7
"var","2.5%",0.5,16.3511783424594,54.7394542705279,5.97079307280211,103.563979091253,NA,0.000977517106549364,0.7
"var","2.5%",0.6,19.4445594824887,77.7718481516908,5.16539837640518,140.888410145749,NA,0.000977517106549364,0.7
"var","2.5%",0.7,21.4890071328201,102.054023857527,4.75750521215176,176.568828206142,NA,0.000977517106549364,0.7
"var","2.5%",0.8,23.6132177925296,132.963737098492,4.32161260252474,226.258571984971,NA,0.000977517106549364,0.7
"var","2.5%",0.9,25.4299767696496,166.674350103861,3.77392351405945,276.470583727586,NA,0.000977517106549364,0.7
"var","2.5%",1,27.118212747434,205.006353216833,3.31926212254857,331.326875873465,NA,0.000977517106549364,0.7
"var","50%",0.1,3.3669612582478,4.68481707829301,6.62827000473485,13.776511333089,NA,0.000977517106549364,0.7
"var","50%",0.2,8.34649926686217,16.1114970903592,10.6462662474035,38.8657932971347,NA,0.000977517106549364,0.7
"var","50%",0.3,13.2599154982282,32.8596489720797,12.7001141709433,75.4197667514357,NA,0.000977517106549364,0.7
"var","50%",0.4,18.0595884500244,57.6046582890396,13.8915366492546,125.79793174945,NA,0.000977517106549364,0.7
"var","50%",0.5,22.239016297043,89.3967760073008,13.823044106641,184.321631288948,NA,0.000977517106549364,0.7
"var","50%",0.6,25.7324481266801,127.23469861162,13.6044086594269,255.290573642168,NA,0.000977517106549364,0.7
"var","50%",0.7,29.0415783655609,171.409548165628,13.0562406448558,340.253890498992,NA,0.000977517106549364,0.7
"var","50%",0.8,31.5037205790262,221.690277427755,12.2918986360582,433.288603811553,NA,0.000977517106549364,0.7
"var","50%",0.9,33.1924405661962,275.484256151485,11.705721052511,542.190983836602,NA,0.000977517106549364,0.7
"var","50%",1,34.9040978395345,340.124219131843,10.8956529126955,659.978089870479,NA,0.000977517106549364,0.7
"var","97.5%",0.1,5.47380676567846,8.22309995112414,11.3367515646001,21.7346895189929,NA,0.000977517106549364,0.7
"var","97.5%",0.2,13.5994351593047,30.1259294765319,21.8887312515274,73.1855171151408,NA,0.000977517106549364,0.7
"var","97.5%",0.3,21.7505665351219,64.9453994646566,29.3929834509409,152.648050239988,NA,0.000977517106549364,0.7
"var","97.5%",0.4,29.1608949245479,111.040928588748,33.880197068976,270.299760011913,NA,0.000977517106549364,0.7
"var","97.5%",0.5,35.0881239547058,173.327492095858,36.1948275598729,404.13459799609,NA,0.000977517106549364,0.7
"var","97.5%",0.6,39.3501090160679,248.87652538967,36.8420560745433,573.084989575696,NA,0.000977517106549364,0.7
"var","97.5%",0.7,43.175073313783,338.150938282777,37.166887681948,776.208846529814,NA,0.000977517106549364,0.7
"var","97.5%",0.8,45.9782327989446,438.355526026393,36.6348197511913,998.953155165567,NA,0.000977517106549364,0.7
